Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DDF,"Delaware Investments Dividend & Income Fund, Inc.",8.54,$65.66M,1993,n/a,n/a,https://old.nasdaq.com/symbol/ddf
DKL,"Delek Logistics Partners, L.P.",25.79,$758.89M,2012,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/dkl
DK,"Delek US Holdings, Inc.",18.41,$1.35B,2017,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/dk
DELL,Dell Technologies Inc.,61.76,$45.75B,2018,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/dell
DLPH,Delphi Technologies PLC,15.97,$1.38B,2017,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/dlph
DAL,"Delta Air Lines, Inc.",26.25,$16.74B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/dal
DLX,Deluxe Corporation,21.35,$893.11M,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/dlx
DNR,Denbury Resources Inc.,0.2416,$122.37M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/dnr
DBI,Designer Brands Inc.,6.43,$463.65M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/dbi
DESP,"Despegar.com, Corp.",8.36,$582.26M,2017,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/desp
DB,Deutsche Bank AG,9.83,$20.3B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/db
DVN,Devon Energy Corporation,11.07,$4.24B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/dvn
DHX,"DHI Group, Inc.",2.59,$137.52M,2007,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/dhx
DHT,"DHT Holdings, Inc.",5.49,$809.34M,2005,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/dht
DEO,Diageo plc,142.34,$83.18B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/deo
DSSI,Diamond S Shipping Inc.,8.23,$332.9M,2019,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/dssi
DRH,Diamondrock Hospitality Company,5.13,$1.02B,2005,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/drh
DSX,Diana Shipping inc.,1.41,$125.88M,2005,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/dsx
DSX^B,Diana Shipping inc.,22.2,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dsx^b
DKS,Dick&#39;s Sporting Goods Inc,44.4,$3.97B,2002,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/dks
DBD,Diebold Nixdorf Incorporated,6.36,$493.8M,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/dbd
DMS,"Digital Media Solutions, Inc.",7.1,n/a,2018,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/dms
DMS.WS,"Digital Media Solutions, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dms.ws
DLR,"Digital Realty Trust, Inc.",144.87,$38.87B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dlr
DLR^C,"Digital Realty Trust, Inc.",26.33,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^c
DLR^G,"Digital Realty Trust, Inc.",25.75,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^g
DLR^I,"Digital Realty Trust, Inc.",25.33,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^i
DLR^J,"Digital Realty Trust, Inc.",25.72,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^j
DLR^K,"Digital Realty Trust, Inc.",27.0084,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^k
DLR^L,"Digital Realty Trust, Inc.",26.17,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^l
DDS,"Dillard&#39;s, Inc.",24.62,$571.92M,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/dds
DDT,"Dillard&#39;s, Inc.",19.3,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/ddt
DIN,"Dine Brands Global, Inc.",40.8,$669.87M,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/din
DFS,Discover Financial Services,50.7,$15.53B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dfs
DNI,Dividend and Income Fund,10.9,$135.7M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dni
DMYT,"dMY Technology Group, Inc.",10.87,$312.51M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/dmyt
DMYT.U,"dMY Technology Group, Inc.",n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/dmyt.u
DMYT.WS,"dMY Technology Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dmyt.ws
DLB,Dolby Laboratories,67.76,$6.82B,2005,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/dlb
DG,Dollar General Corporation,195.15,$49.12B,2009,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/dg
D,"Dominion Energy, Inc.",79.55,$66.76B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/d
DCUE,"Dominion Energy, Inc.",102.44,n/a,2019,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dcue
DRUA,"Dominion Energy, Inc.",26.34,n/a,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/drua
DPZ,Domino&#39;s Pizza Inc,389.12,$15.31B,2004,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/dpz
UFS,Domtar Corporation,21.74,$1.2B,n/a,Basic Industries,Paper,https://old.nasdaq.com/symbol/ufs
DCI,"Donaldson Company, Inc.",48.21,$6.08B,n/a,Capital Goods,Pollution Control Equipment,https://old.nasdaq.com/symbol/dci
DFIN,"Donnelley Financial Solutions, Inc.",8.46,$285.38M,2016,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dfin
LPG,Dorian LPG Ltd.,7.82,$397.47M,2014,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/lpg
DSL,DoubleLine Income Solutions Fund,15.49,$1.58B,2013,n/a,n/a,https://old.nasdaq.com/symbol/dsl
DBL,DoubleLine Opportunistic Credit Fund,18.82,$281.25M,2012,n/a,n/a,https://old.nasdaq.com/symbol/dbl
DLY,DoubleLine Yield Opportunities Fund,18.29,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/dly
PLOW,"Douglas Dynamics, Inc.",36.45,$833.15M,2010,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/plow
DEI,"Douglas Emmett, Inc.",29.26,$5.13B,2006,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dei
DOV,Dover Corporation,105.19,$15.14B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dov
DVD,"Dover Motorsports, Inc.",1.48,$53.89M,1996,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/dvd
DOW,Dow Inc.,44.34,$32.84B,2019,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/dow
RDY,Dr. Reddy&#39;s Laboratories Ltd,54.75,$9.1B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/rdy
DRD,DRDGOLD Limited,16.04,$1.37B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/drd
DRQ,"Dril-Quip, Inc.",33.95,$1.19B,1997,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/drq
DS,Drive Shack Inc.,1.66,$111.34M,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/ds
DS^B,Drive Shack Inc.,13.0499,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ds^b
DS^C,Drive Shack Inc.,12.4255,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ds^c
DS^D,Drive Shack Inc.,13.25,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ds^d
DTE,DTE Energy Company,114.45,$22.04B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dte
DTJ,DTE Energy Company,25.8,n/a,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dtj
DTP,DTE Energy Company,44.38,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dtp
DTQ,DTE Energy Company,25.59,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dtq
DTW,DTE Energy Company,26.02,n/a,2017,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dtw
DTY,DTE Energy Company,26.51,n/a,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dty
DCO,Ducommun Incorporated,35.02,$407.94M,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/dco
DSE,Duff & Phelps Select MLP and Midstream Energy Fund,0.54,$14.17M,2014,n/a,n/a,https://old.nasdaq.com/symbol/dse
DNP,"Duff & Phelps Utilities Income, Inc.",10.89,$3.31B,1987,n/a,n/a,https://old.nasdaq.com/symbol/dnp
DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",14.39,$122.61M,1991,n/a,n/a,https://old.nasdaq.com/symbol/dtf
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",9.33,$256.53M,1993,n/a,n/a,https://old.nasdaq.com/symbol/duc
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,11.92,$452.12M,2011,n/a,n/a,https://old.nasdaq.com/symbol/dpg
DUK,Duke Energy Corporation,84.15,$61.84B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/duk
DUK^A,Duke Energy Corporation,28.25,n/a,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/duk^a
DUKB,Duke Energy Corporation,27.87,n/a,2018,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/dukb
DUKH,Duke Energy Corporation,25.76,n/a,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/dukh
DRE,Duke Realty Corporation,37.19,$13.7B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dre
DNB,"Dun & Bradstreet Holdings, Inc.",25.69,$10.57B,2020,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dnb
DD,"DuPont de Nemours, Inc.",54.43,$39.94B,2017,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/dd
DXC,DXC Technology Company,17.28,$4.39B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/dxc
DY,"Dycom Industries, Inc.",42.31,$1.34B,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/dy
DLNG,Dynagas LNG Partners LP,3.07,$108.95M,n/a,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/dlng
DLNG^A,Dynagas LNG Partners LP,20.9837,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlng^a
DLNG^B,Dynagas LNG Partners LP,18.25,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlng^b
DT,"Dynatrace, Inc.",43.16,$12.13B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/dt
DX,"Dynex Capital, Inc.",15.57,$357.83M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dx
DX^B,"Dynex Capital, Inc.",23.6001,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dx^b
DX^C,"Dynex Capital, Inc.",22.32,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dx^c
CTA^A,E.I. du Pont de Nemours and Company,80.985,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cta^a
CTA^B,E.I. du Pont de Nemours and Company,102.5,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cta^b
ELF,"e.l.f. Beauty, Inc.",18.39,$927.8M,2016,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/elf
EGIF,Eagle Growth and Income Opportunities Fund,12.4,$88.35M,2015,n/a,n/a,https://old.nasdaq.com/symbol/egif
EXP,Eagle Materials Inc,78.01,$3.26B,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/exp
ECC           ,Eagle Point Credit Company Inc.,7.32,$218.54M,2014,n/a,n/a,https://old.nasdaq.com/symbol/ecc
ECCB,Eagle Point Credit Company Inc.,24.2959,n/a,2016,n/a,n/a,https://old.nasdaq.com/symbol/eccb
ECCX,Eagle Point Credit Company Inc.,23.75,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/eccx
ECCY,Eagle Point Credit Company Inc.,23.5,n/a,2017,n/a,n/a,https://old.nasdaq.com/symbol/eccy
EIC,Eagle Point Income Company Inc.,13.03,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/eic
ESTE,"Earthstone Energy, Inc.",3.17,$205.78M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/este
DEA,"Easterly Government Properties, Inc.",23.61,$1.77B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dea
EGP,"EastGroup Properties, Inc.",121.11,$4.73B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/egp
EMN,Eastman Chemical Company,76.6,$10.41B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/emn
KODK,Eastman Kodak Company,2.16,$94.46M,n/a,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/kodk
ETN,"Eaton Corporation, PLC",93.97,$37.59B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/etn
ETV,Eaton Vance Corporation,14.3,$1.3B,2005,n/a,n/a,https://old.nasdaq.com/symbol/etv
ETW,Eaton Vance Corporation,8.88,$954.48M,2005,n/a,n/a,https://old.nasdaq.com/symbol/etw
EV,Eaton Vance Corporation,37.94,$4.34B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ev
EOI,Eaton Vance Enhance Equity Income Fund,15.4,$605.59M,2004,n/a,n/a,https://old.nasdaq.com/symbol/eoi
EOS,Eaton Vance Enhanced Equity Income Fund II,18.29,$904M,2005,n/a,n/a,https://old.nasdaq.com/symbol/eos
EFT,Eaton Vance Floating Rate Income Trust,11.59,$462.02M,2004,n/a,n/a,https://old.nasdaq.com/symbol/eft
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,8.4,$198.38M,2017,n/a,n/a,https://old.nasdaq.com/symbol/efl
EFF,Eaton vance Floating-Rate Income Plus Fund,14.2,$108.01M,2013,n/a,n/a,https://old.nasdaq.com/symbol/eff
EHT,Eaton Vance High Income 2021 Target Term Trust,9.54,$204.77M,2016,n/a,n/a,https://old.nasdaq.com/symbol/eht
ETX           ,Eaton Vance Municipal Income 2028 Term Trust,21.3,$230.93M,2013,n/a,n/a,https://old.nasdaq.com/symbol/etx
EOT,Eaton Vance Municipal Income Trust,19.88,$304.43M,2009,n/a,n/a,https://old.nasdaq.com/symbol/eot
EVN,Eaton Vance Municipal Income Trust,12.71,$504.17M,1999,n/a,n/a,https://old.nasdaq.com/symbol/evn
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,9.94,$634.18M,2007,n/a,n/a,https://old.nasdaq.com/symbol/etj
EFR,Eaton Vance Senior Floating-Rate Fund,11.3,$416.39M,2003,n/a,n/a,https://old.nasdaq.com/symbol/efr
EVF,Eaton Vance Senior Income Trust,5.45,$206.37M,1998,n/a,n/a,https://old.nasdaq.com/symbol/evf
EVG,Eaton Vance Short Diversified Income Fund,11.26,$201.34M,2005,n/a,n/a,https://old.nasdaq.com/symbol/evg
EVT,Eaton Vance Tax Advantaged Dividend Income Fund,20.08,$1.48B,2003,n/a,n/a,https://old.nasdaq.com/symbol/evt
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,21.62,$339.03M,2004,n/a,n/a,https://old.nasdaq.com/symbol/eto
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,15.08,$1.15B,2004,n/a,n/a,https://old.nasdaq.com/symbol/etg
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,14.2299,$378.25M,2005,n/a,n/a,https://old.nasdaq.com/symbol/etb
EXD,Eaton Vance Tax-Managed Buy-Write Strategy Fund,9.26,$90.11M,2010,n/a,n/a,https://old.nasdaq.com/symbol/exd
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,11.06,$1.68B,2006,n/a,n/a,https://old.nasdaq.com/symbol/ety
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,7.6,$2.3B,2007,n/a,n/a,https://old.nasdaq.com/symbol/exg
ECT,ECA Marcellus Trust I,0.3851,$6.78M,2010,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ect
ECL,Ecolab Inc.,210.32,$59.78B,n/a,Basic Industries,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ecl
EC,Ecopetrol S.A.,12.25,$25.18B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ec
EPC,Edgewell Personal Care,29.31,$1.59B,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/epc
EIX,Edison International,56.71,$21.43B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/eix
EW,Edwards Lifesciences Corporation,77.91,$148.65B,n/a,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/ew
EP^C,El Paso Corporation,47.03,n/a,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/ep^c
EE,El Paso Electric Company,68.14,$2.78B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/ee
ELAN,Elanco Animal Health Incorporated,23.47,$9.36B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/elan
ELAT,Elanco Animal Health Incorporated,40,n/a,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/elat
ESTC,Elastic N.V.,91.84,$7.83B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/estc
EGO,Eldorado Gold Corporation,11.9,$1.99B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ego
ESI,Element Solutions Inc.,11.06,$2.75B,2014,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/esi
ELVT,"Elevate Credit, Inc.",1.71,$72.85M,2017,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/elvt
LLY,Eli Lilly and Company,164.84,$157.66B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lly
EFC,Ellington Financial Inc.,12.2,$534.12M,2010,Finance,Real Estate,https://old.nasdaq.com/symbol/efc
EFC^A,Ellington Financial Inc.,19.97,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/efc^a
EARN,Ellington Residential Mortgage REIT,10.71,$131.94M,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/earn
AKO.A,Embotelladora Andina S.A.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ako.a
AKO.B,Embotelladora Andina S.A.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ako.b
ERJ,Embraer S.A.,6.47,$1.19B,2000,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/erj
EME,"EMCOR Group, Inc.",63.53,$3.48B,n/a,Capital Goods,Engineering & Construction,https://old.nasdaq.com/symbol/eme
EEX,"Emerald Holding, Inc.",2.82,$201.48M,2017,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/eex
EBS,"Emergent Biosolutions, Inc.",93.98,$4.93B,2006,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ebs
EMR,Emerson Electric Company,63.96,$38.21B,n/a,Energy,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/emr
ESRT,"Empire State Realty Trust, Inc.",6.73,$1.99B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/esrt
EIG,Employers Holdings Inc,31.98,$971.35M,2007,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/eig
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),4.25,$185.95M,2007,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/edn
ENBL,"Enable Midstream Partners, LP",4.79,$2.09B,2014,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/enbl
ENB,Enbridge Inc,31.44,$63.67B,n/a,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/enb
ENBA,Enbridge Inc,24.5,n/a,2018,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/enba
